"drugbankid","smiles","id"
"DB00035","NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(N)=O",549
"DB00122","C[N+](C)(C)CCO",113
"DB00131","NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1",524
"DB00140","CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1",325
"DB00142","N[C@@H](CCC(O)=O)C(O)=O",493
"DB00145","NCC(O)=O",490
"DB00154","CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O",553
"DB00157","NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O",308
"DB00159","CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O",566
"DB00178","[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC",394
"DB00180","[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO",460
"DB00182","CC(N)CC1=CC=CC=C1",205
"DB00183","CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O",390
"DB00184","CN1CCC[C@H]1C1=CN=CC=C1",135
"DB00185","CC1O[C@@]2(CS1)CN1CCC2CC1",152
"DB00187","COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1",270
"DB00191","CC(C)(N)CC1=CC=CC=C1",324
"DB00192","CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12",682
"DB00193","COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C",91
"DB00201","CN1C=NC2=C1C(=O)N(C)C(=O)N2C",94
"DB00202","C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C",189
"DB00203","CCCC1=NN(C)C2=C1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(C)CC1",401
"DB00209","[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1",196
"DB00211","COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1",224
"DB00212","[H][C@@](CC1=CC=CC=C1)(CS(=O)(=O)C(C)(C)C)C(O)=N[C@@]([H])(CC1=CN=CN1)C(O)=N[C@@]([H])(CC1CCCCC1)[C@@]([H])(O)[C@@]([H])(O)C1CC1",636
"DB00214","CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1",610
"DB00215","CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1",154
"DB00216","CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2",21
"DB00217","CN\C(NCC1=CC=CC=C1)=N/C",251
"DB00219","CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1",182
"DB00221","CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1",272
"DB00223","[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C",456
"DB00226","NC(N)=NCC1COC2(CCCCC2)O1",653
"DB00232","CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O",357
"DB00233","NC1=CC(O)=C(C=C1)C(O)=O",621
"DB00234","[H][C@@](OC1=CC=CC=C1OCC)(C1=CC=CC=C1)[C@@]1([H])CNCCO1",661
"DB00235","CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1",519
"DB00240","[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C",444
"DB00243","COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1",691
"DB00244","NC1=CC(C(O)=O)=C(O)C=C1",579
